date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:45	3280/3280	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:52%20GMT	https://www.basecreate.com/media/pages/testimonials/6c92dfb3c6-1676519494/ap-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/6c92dfb3c6-1676519494/ap-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:39:55	813/813	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:31%20GMT	https://www.basecreate.com/media/pages/testimonials/53791154f2-1676519494/standardchartered-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/53791154f2-1676519494/standardchartered-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:02	3973/3973	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:50%20GMT	https://www.basecreate.com/media/pages/testimonials/53791154f2-1676519494/standardchartered-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/53791154f2-1676519494/standardchartered-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:04	720/720	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:31%20GMT	https://www.basecreate.com/media/pages/testimonials/a407521528-1676519494/walmart-testimonial-copy-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/a407521528-1676519494/walmart-testimonial-copy-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:12	3609/3609	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:49%20GMT	https://www.basecreate.com/media/pages/testimonials/a407521528-1676519494/walmart-testimonial-copy-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/a407521528-1676519494/walmart-testimonial-copy-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:14	712/712	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:31%20GMT	https://www.basecreate.com/media/pages/testimonials/76c7739283-1676519494/hyatt-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/76c7739283-1676519494/hyatt-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:14	3707/3707	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:51%20GMT	https://www.basecreate.com/media/pages/testimonials/76c7739283-1676519494/hyatt-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/76c7739283-1676519494/hyatt-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:15	761/761	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:32%20GMT	https://www.basecreate.com/media/pages/testimonials/f854d029eb-1676519494/stregis-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/f854d029eb-1676519494/stregis-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:18	4845/4845	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:50%20GMT	https://www.basecreate.com/media/pages/testimonials/f854d029eb-1676519494/stregis-testimonial-270x270-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/f854d029eb-1676519494/stregis-testimonial-270x270-crop-q72.jpg	(from https://www.basecreate.com/en)
21:40:22	754/754	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Feb%202023%2003:53:38%20GMT	https://www.basecreate.com/media/pages/testimonials/4c474818ee-1676519494/tencel-testimonial-27x27-crop-q72.jpg	C:/Users/ACER/Desktop/BHIGITAL%20PROJECTS/https___www.basecreate.com_en/www.basecreate.com/media/pages/testimonials/4c474818ee-1676519494/tencel-testimonial-27x27-crop-q72.jpg	(from https://www.basecreate.com/en)
